GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD04,HD01_VD06,HD01_VD08,HD01_VD10,HD01_VD11,HD01_VD13,HD01_VD14,HD01_VD16,HD01_VD17,HD01_VD19,HD01_VD20,HD01_VD22,HD01_VD23,HD01_VD25,HD01_VD27,HD01_VD29,HD01_VD30,HD01_VD32,HD01_VD33,HD01_VD35,HD01_VD36,HD01_VD38,HD01_VD39,HD01_VD41,HD01_VD42
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Veteran,Estimate; Total: - Male:,Estimate; Total: - Male: - Veteran,Estimate; Total: - Male: - 18 to 34 years:,Estimate; Total: - Male: - 18 to 34 years: - Veteran,Estimate; Total: - Male: - 35 to 54 years:,Estimate; Total: - Male: - 35 to 54 years: - Veteran,Estimate; Total: - Male: - 55 to 64 years:,Estimate; Total: - Male: - 55 to 64 years: - Veteran,Estimate; Total: - Male: - 65 to 74 years:,Estimate; Total: - Male: - 65 to 74 years: - Veteran,Estimate; Total: - Male: - 75 years and over:,Estimate; Total: - Male: - 75 years and over: - Veteran,Estimate; Total: - Female:,Estimate; Total: - Female: - Veteran,Estimate; Total: - Female: - 18 to 34 years:,Estimate; Total: - Female: - 18 to 34 years: - Veteran,Estimate; Total: - Female: - 35 to 54 years:,Estimate; Total: - Female: - 35 to 54 years: - Veteran,Estimate; Total: - Female: - 55 to 64 years:,Estimate; Total: - Female: - 55 to 64 years: - Veteran,Estimate; Total: - Female: - 65 to 74 years:,Estimate; Total: - Female: - 65 to 74 years: - Veteran,Estimate; Total: - Female: - 75 years and over:,Estimate; Total: - Female: - 75 years and over: - Veteran
0500000US26005,26005,"Allegan County, Michigan",87120,5083,43175,4666,11859,275,14635,680,8383,727,5317,1772,2981,1212,43945,417,10884,26,14705,168,8305,35,5712,82,4339,106
0500000US26017,26017,"Bay County, Michigan",83276,7770,40577,7166,10668,370,13045,1459,7987,1350,5364,2324,3513,1663,42699,604,10000,0,13320,367,8095,88,5844,0,5440,149
0500000US26021,26021,"Berrien County, Michigan",119753,9799,58029,9330,15651,288,18637,1716,10975,1733,7924,3063,4842,2530,61724,469,15105,109,19225,144,11738,91,8552,92,7104,33
0500000US26025,26025,"Calhoun County, Michigan",103253,9783,49668,9234,14331,321,16142,2087,8745,1764,6556,3349,3894,1713,53585,549,14613,0,16679,187,9504,211,6907,0,5882,151
0500000US26037,26037,"Clinton County, Michigan",59989,4810,29284,4442,7676,320,10045,906,5477,686,3698,1429,2388,1101,30705,368,8145,115,10416,101,5531,67,3681,0,2932,85
0500000US26045,26045,"Eaton County, Michigan",85856,7144,41387,6357,12331,390,12794,1529,8001,1265,5374,1927,2887,1246,44469,787,11531,215,14073,368,8468,88,5826,63,4571,53
0500000US26049,26049,"Genesee County, Michigan",314504,23020,148713,21756,41495,1214,50465,5426,27508,3821,18077,6506,11168,4789,165791,1264,42820,165,54327,762,30581,125,20839,181,17224,31
0500000US26055,26055,"Grand Traverse County, Michigan",72901,5774,35160,5108,9254,254,11447,630,6942,1011,4835,1706,2682,1507,37741,666,9263,129,11585,100,7202,255,5421,67,4270,115
0500000US26065,26065,"Ingham County, Michigan",230197,13077,110651,11525,48421,1319,30850,2395,15725,1609,10269,3726,5386,2476,119546,1552,48883,478,32299,237,18040,380,11313,344,9011,113
0500000US26073,26073,"Isabella County, Michigan",58893,3326,28359,3113,14495,391,6478,504,3780,599,2238,923,1368,696,30534,213,15357,8,6432,89,4151,60,2496,56,2098,0
